Key,Id,Chinese (Simplified)(zh-CN),English (United States)(en-US)
"arrowshot.name",17320603803648,"射击","Shot"
"arrowshot.tooltip",1511864809365504,"对目标造成{HitPower}点突刺伤害。","Shots the target, dealing {HitPower} piercing dmg."
"basicheal.name",476246885081088,"治疗术","Basic heal"
"basicheal.tooltip",1511985810841600,"为目标恢复{HitPower}点生命值。","Heals the target for {HitPower} HP."
"chainheal.name",472736906944512,"治疗链","Chain heal"
"chargedslash.name",854520786132992,"蓄力斩","Charged Slash"
"defenseaction.name",17521674543104,"防御","Defense"
"emergencyheal.name",17434508517376,"应急治疗","First aid"
"growthaction.name",17601206935552,"栽培","Growth"
"growthaction.tooltip",1507765120475136,"在10回合内为目标恢复{BuffPower}点生命值。","Heals the target {BuffPower} HP over 10 turns."
"healingbloom.name",17740373942272,"绽放","Bloom"
"healingbloom.tooltip",1508470430441472,"引导生命洪流的绽放，为所有同伴恢复{Power}点生命值。","Channeling the bloom of life, heals all allies for {Power} HP.	"
"paladin.judgementhammer.name",1545101661249536,"圣祝：裁决重锤","Divine word: Hammer"
"move.name",16990428192768,"移动","Move"
"move.tooltip",1510736172490752,"进行移动。

在执行行动前，可以无消耗地移动3格（蓝色格子）。
除此之外的所有场合，移动1格需要消耗1AP（紫色格子）。","Moves.

If moves prior to any action done in this turn, can move freely for 3 grids (Blue).
Otherwise, costs 1AP per grid moved (Purple)."
"slimeking.groundfx.name",1766790294740992,"剧毒酸池","Acid pool"
"oraclebless.name",1543671495860224,"祝福之光","Blessing"
"oraclecost.name",1543040982917120,"Oracle Cost","Oracle Cost"
"oraclecosts.name",1543356373606400,"聆听神谕","Oracle"
"poisonshot.name",17818627072000,"疾飞之箭","Poison shot"
"poisonshot.tooltip",1508771736657920,"射击目标使其出血，对其造成{HitPower}点突刺伤害，
并在16回合内额外造成{BuffPower}点突刺伤害。","Shots and bleeds the target, dealing {HitPower} piercing dmg immediately,
then deals {BuffPower} piercing dmg over 16 turns."
"paladin.pray.name",1544205942464512,"祈祷","Pray"
"punch.name",17977729605632,"拳","Punch"
"seawhip.name",18078019608576,"海神之鞭","Team buff"
"shieldbash.name",18215387258880,"攻击","Shield bash"
"slimejump.name",18984651972608,"史莱姆跳跃","Slime jump"
